,開始時刻,始値,高値,安値,終値,取引量,取引総額
0,2025-01-01 17:00:00,93642.7,93737.7,93250.5,93375.0,2072.463,193696444.9458
1,2025-01-01 18:00:00,93375.0,93438.9,92840.0,93368.4,3900.419,363295917.1728
2,2025-01-01 19:00:00,93368.4,93510.0,93239.8,93297.8,1596.828,149120651.0995
3,2025-01-01 20:00:00,93297.8,93674.8,93155.5,93393.3,1991.185,186032169.674
4,2025-01-01 21:00:00,93393.3,93961.5,93351.2,93772.2,2377.623,222770404.3657
5,2025-01-01 22:00:00,93772.2,94039.1,93561.9,93985.9,1637.873,153586105.3717
6,2025-01-01 23:00:00,93985.9,94429.9,93604.2,94134.4,4793.719,450989303.5765
7,2025-01-02 00:00:00,94134.4,94481.4,93851.4,94411.6,2298.89,216440850.6787
8,2025-01-02 01:00:00,94411.6,94470.4,93891.9,94060.1,1957.371,184286450.319
9,2025-01-02 02:00:00,94060.1,94164.6,93687.7,94106.0,1600.265,150289564.3034
10,2025-01-02 03:00:00,94106.0,94357.7,93881.3,94300.0,1120.851,105559259.9054
11,2025-01-02 04:00:00,94300.0,94786.8,94100.0,94583.4,2381.442,224991742.2226
12,2025-01-02 05:00:00,94583.4,94863.8,94540.1,94751.4,1963.573,185990332.8606
13,2025-01-02 06:00:00,94751.4,95158.4,94646.7,94946.9,2091.371,198429397.2308
14,2025-01-02 07:00:00,94946.9,94982.1,94639.2,94761.1,1507.954,142948040.4668
15,2025-01-02 08:00:00,94761.1,94943.4,94500.0,94564.6,1679.23,158972971.1341
16,2025-01-02 09:00:00,94564.6,95355.0,94339.9,95104.9,4471.319,424496700.6736
17,2025-01-02 10:00:00,95104.9,95515.7,94688.9,94844.5,3562.47,338837621.0293
18,2025-01-02 11:00:00,94844.5,95220.8,94771.6,95217.0,1694.473,160996738.0141
19,2025-01-02 12:00:00,95217.0,95286.0,94881.1,94985.8,1085.773,103188207.3474
20,2025-01-02 13:00:00,94985.8,95987.5,94957.8,95685.8,4479.418,428264788.0218
21,2025-01-02 14:00:00,95685.8,95775.2,95346.8,95556.6,2219.185,212075782.6236
22,2025-01-02 15:00:00,95556.6,95673.5,95334.7,95547.1,1137.792,108623091.304
23,2025-01-02 16:00:00,95547.1,95877.2,95468.0,95799.9,1681.211,160958757.1594
24,2025-01-02 17:00:00,95799.9,96200.0,95591.5,96115.0,3393.05,325458074.3803
25,2025-01-02 18:00:00,96115.0,96774.0,96005.2,96716.4,4259.238,410561462.8795
26,2025-01-02 19:00:00,96716.4,96799.9,96489.5,96686.5,3067.978,296463827.8153
27,2025-01-02 20:00:00,96686.5,96869.8,96450.0,96717.7,2515.292,243117101.7633
28,2025-01-02 21:00:00,96717.7,96894.9,96572.2,96825.0,2183.916,211258505.8862
29,2025-01-02 22:00:00,96825.0,97000.0,96400.0,96431.4,3554.687,343648526.0126
30,2025-01-02 23:00:00,96431.4,97400.0,95889.7,97238.1,15066.589,1456786169.8577
31,2025-01-03 00:00:00,97238.1,97305.4,96126.5,96427.0,8867.892,857092278.9271
32,2025-01-03 01:00:00,96427.0,97685.0,96003.0,97195.2,7855.715,762649878.204
33,2025-01-03 02:00:00,97195.2,97573.6,96300.0,96729.2,5948.693,575951327.3556
34,2025-01-03 03:00:00,96729.2,97339.8,96354.5,97288.2,4502.017,436095962.2491
35,2025-01-03 04:00:00,97288.2,97764.0,97156.3,97294.1,4377.761,426611767.087
36,2025-01-03 05:00:00,97294.1,97844.8,97236.0,97248.1,3987.762,388875223.4959
37,2025-01-03 06:00:00,97248.1,97306.0,96987.0,97163.5,2107.581,204756441.9977
38,2025-01-03 07:00:00,97163.5,97163.5,96618.3,96850.2,2718.573,263415858.7162
39,2025-01-03 08:00:00,96850.2,97069.8,96736.2,96960.5,1288.549,124858037.1516
40,2025-01-03 09:00:00,96960.5,97049.4,96735.6,96796.3,1706.645,165373583.3039
41,2025-01-03 10:00:00,96796.3,96984.0,96605.3,96952.3,1429.417,138330398.364
42,2025-01-03 11:00:00,96952.3,97329.6,96815.8,96939.8,1847.897,179451140.0244
43,2025-01-03 12:00:00,96939.8,97064.7,96779.1,97024.2,898.445,87097196.1431
44,2025-01-03 13:00:00,97024.2,97042.8,96725.0,96777.6,977.381,94661096.1975
45,2025-01-03 14:00:00,96777.6,96831.8,96544.4,96729.4,1503.435,145323946.2758
46,2025-01-03 15:00:00,96729.4,96889.1,96470.0,96512.8,1410.337,136337164.4766
47,2025-01-03 16:00:00,96512.8,96611.9,96253.5,96283.3,2341.925,225766219.1166
48,2025-01-03 17:00:00,96283.3,96498.8,96062.1,96092.3,2421.772,233085269.7372
49,2025-01-03 18:00:00,96092.3,96688.0,96067.8,96518.1,2361.041,227737577.8788
50,2025-01-03 19:00:00,96518.1,96619.7,96372.1,96453.5,1285.598,124033386.7988
51,2025-01-03 20:00:00,96453.5,96810.7,96444.1,96715.4,1663.778,160833056.5423
52,2025-01-03 21:00:00,96715.4,96912.3,96630.0,96630.0,1907.867,184617285.1394
53,2025-01-03 22:00:00,96630.0,96818.8,96432.0,96470.7,1902.078,183710010.4093
54,2025-01-03 23:00:00,96470.7,97317.1,96470.7,96977.7,6079.019,589274118.7831
55,2025-01-04 00:00:00,96977.7,97631.5,96705.5,97491.8,6084.899,591865907.3149
56,2025-01-04 01:00:00,97491.8,98400.0,97360.2,97828.8,7957.242,779683811.6975
57,2025-01-04 02:00:00,97828.8,98265.2,97788.9,97983.6,2400.119,235293369.3561
58,2025-01-04 03:00:00,97983.6,98664.3,97955.0,98495.5,3206.627,315492203.1091
59,2025-01-04 04:00:00,98495.5,98950.0,98456.9,98555.2,3850.534,380125135.675
60,2025-01-04 05:00:00,98555.2,98709.0,98234.8,98252.7,2895.827,285046181.6846
61,2025-01-04 06:00:00,98252.7,98380.1,98131.4,98208.7,1797.438,176562844.9875
62,2025-01-04 07:00:00,98208.7,98493.8,98183.4,98260.1,1198.751,117875899.4301
63,2025-01-04 08:00:00,98260.1,98345.2,98016.9,98140.0,1220.788,119809229.4044
64,2025-01-04 09:00:00,98140.0,98251.8,97850.6,97910.2,1471.944,144278236.5167
65,2025-01-04 10:00:00,97910.2,98073.2,97750.0,97986.3,1245.718,121983976.8605
66,2025-01-04 11:00:00,97986.3,98275.2,97807.3,98262.2,1147.582,112519998.6704
67,2025-01-04 12:00:00,98262.2,98262.2,97993.4,98144.1,778.069,76357823.6116
68,2025-01-04 13:00:00,98144.1,98151.1,97832.8,97968.8,1034.297,101290640.1744
69,2025-01-04 14:00:00,97968.8,98150.0,97948.2,98081.6,1003.506,98401556.665
70,2025-01-04 15:00:00,98081.6,98212.7,98001.0,98091.6,593.419,58193869.7079
71,2025-01-04 16:00:00,98091.6,98298.6,98060.0,98235.0,900.002,88375059.9465
72,2025-01-04 17:00:00,98235.0,98268.2,97870.1,97877.7,1160.326,113806327.1601
73,2025-01-04 18:00:00,97877.7,97964.2,97502.1,97661.3,2141.543,209350988.0941
74,2025-01-04 19:00:00,97661.3,97829.0,97561.2,97745.9,1082.801,105795098.4824
75,2025-01-04 20:00:00,97745.9,97890.0,97661.8,97848.4,731.627,71535726.8311
76,2025-01-04 21:00:00,97848.4,97982.3,97750.1,97842.7,1330.519,130207602.3665
77,2025-01-04 22:00:00,97842.7,98029.7,97704.1,97929.9,1514.654,148215196.4548
78,2025-01-04 23:00:00,97929.9,98039.8,97784.0,97995.0,978.383,95812915.0674
79,2025-01-05 00:00:00,97995.0,98122.7,97442.8,97617.4,2741.601,267873437.4037
80,2025-01-05 01:00:00,97617.4,97821.4,97527.7,97676.7,1472.865,143851101.2308
81,2025-01-05 02:00:00,97676.7,98011.0,97640.7,97973.2,1040.566,101797581.893
82,2025-01-05 03:00:00,97973.2,98117.9,97854.6,97925.1,1035.92,101515384.3496
83,2025-01-05 04:00:00,97925.1,98380.7,97888.0,98129.3,1881.375,184702175.1423
84,2025-01-05 05:00:00,98129.3,98650.0,98129.2,98571.9,2165.245,213119889.1092
85,2025-01-05 06:00:00,98571.9,98759.6,98291.2,98336.3,1967.229,193787221.8188
86,2025-01-05 07:00:00,98336.3,98466.1,98229.8,98367.5,805.712,79232789.7745
87,2025-01-05 08:00:00,98367.5,98395.6,98105.0,98177.2,806.374,79201429.6401
88,2025-01-05 09:00:00,98177.2,98370.0,98106.2,98175.9,818.687,80415241.1403
89,2025-01-05 10:00:00,98175.9,98287.0,98011.0,98098.5,773.978,75938238.3976
90,2025-01-05 11:00:00,98098.5,98215.2,98060.4,98209.4,478.191,46926896.2384
91,2025-01-05 12:00:00,98209.4,98209.4,98033.0,98161.7,434.565,42637875.8696
92,2025-01-05 13:00:00,98161.7,98516.0,98161.7,98332.4,1411.838,138857130.9034
93,2025-01-05 14:00:00,98332.4,98475.0,98235.0,98311.4,581.239,57149152.4971
94,2025-01-05 15:00:00,98311.4,98467.0,98256.9,98419.4,547.01,53805979.5184
95,2025-01-05 16:00:00,98419.4,98446.4,98227.3,98227.4,577.667,56789989.6841
96,2025-01-05 17:00:00,98227.4,98227.4,97727.7,97814.5,3307.693,323797668.4384
97,2025-01-05 18:00:00,97814.5,97902.3,97573.9,97616.4,2087.895,204084592.1875
98,2025-01-05 19:00:00,97616.4,97735.3,97543.0,97690.0,1618.759,158060792.6589
99,2025-01-05 20:00:00,97690.0,97801.0,97574.3,97607.6,1089.602,106413540.9491
100,2025-01-05 21:00:00,97607.6,97918.0,97513.8,97720.0,1844.32,180225690.7861
101,2025-01-05 22:00:00,97720.0,97980.0,97606.8,97662.9,1460.956,142897727.7113
102,2025-01-05 23:00:00,97662.9,97947.3,97216.0,97810.0,5490.26,535397206.1758
103,2025-01-06 00:00:00,97810.0,98245.7,97673.2,97990.1,3278.752,321282797.7003
104,2025-01-06 01:00:00,97990.1,98308.6,97887.1,97996.3,1633.796,160238595.7829
105,2025-01-06 02:00:00,97996.3,98049.8,97600.1,97700.0,1698.399,166171854.6302
106,2025-01-06 03:00:00,97700.0,97898.5,97536.7,97872.0,1359.549,132816987.0402
107,2025-01-06 04:00:00,97872.0,98100.0,97808.4,98049.2,1117.702,109517244.9428
108,2025-01-06 05:00:00,98049.2,98651.9,97977.5,98237.4,3381.415,332691816.7843
109,2025-01-06 06:00:00,98237.4,98499.9,98180.4,98472.0,956.782,94105470.0619
